Index,Ticker
S&P,LVS
S&P,CTRA
S&P,PPL
S&P,WAT
S&P,HUBB
S&P,COO
S&P,BALL
S&P,HPE
S&P,FE
S&P,AXON
S&P,NDAQ
S&P,INVH
S&P,STLD
S&P,CLX
S&P,ARE
S&P,VLTO
S&P,HOLX
S&P,EXPE
S&P,LH
S&P,HBAN
S&P,J
S&P,AEE
S&P,TYL
S&P,NTAP
S&P,JBL
S&P,WDC
S&P,VTR
S&P,IEX
S&P,PFG
S&P,CNP
S&P,CINF
S&P,EXPD
S&P,OMC
S&P,AVY
S&P,WRB
S&P,EPAM
S&P,FDS
S&P,VRSN
S&P,JBHT
S&P,MKC
S&P,LDOS
S&P,STX
S&P,RF
S&P,ATO
S&P,ENPH
S&P,SWKS
S&P,MAS
S&P,TXT
S&P,CMS
S&P,NTRS
S&P,SYF
S&P,AKAM
S&P,VTRS
S&P,EG
S&P,TER
S&P,PKG
S&P,WBA
S&P,FSLR
S&P,EQT
S&P,CCL
S&P,TRMB
S&P,CF
S&P,TSN
S&P,K
S&P,DPZ
S&P,LW
S&P,CE
S&P,UAL
S&P,ESS
S&P,NDSN
S&P,MAA
S&P,POOL
S&P,BBY
S&P,HST
S&P,CFG
S&P,ZBRA
S&P,SNA
S&P,MRO
S&P,DGX
S&P,LKQ
S&P,ALB
S&P,PODD
S&P,L
S&P,BG
S&P,SWK
S&P,KEY
S&P,CAG
S&P,AMCR
S&P,LYV
S&P,RVTY
S&P,SJM
S&P,JKHY
S&P,CRL
S&P,IPG
S&P,PNR
S&P,LNT
S&P,GEN
S&P,KIM
S&P,IP
S&P,JNPR
S&P,ROL
S&P,NRG
S&P,TAP
S&P,MGM
S&P,EVRG
S&P,KMX
S&P,HII
S&P,ALLE
S&P,INCY
S&P,TECH
S&P,TFX
S&P,WRK
S&P,QRVO
S&P,DAY
S&P,FFIV
S&P,UDR
S&P,TPR
S&P,GL
S&P,AES
S&P,BBWI
S&P,CTLT
S&P,NI
S&P,MOS
S&P,BF-B
S&P,EMN
S&P,CPT
S&P,NWSA
S&P,HSIC
S&P,REG
S&P,UHS
S&P,AAL
S&P,AOS
S&P,WYNN
S&P,MTCH
S&P,AIZ
S&P,APA
S&P,PEAK
S&P,BXP
S&P,PAYC
S&P,CZR
S&P,HRL
S&P,CHRW
S&P,ETSY
S&P,RHI
S&P,CPB
S&P,MKTX
S&P,PNW
S&P,BEN
S&P,RL
S&P,FOXA
S&P,FRT
S&P,BWA
S&P,XRAY
S&P,BIO
S&P,IVZ
S&P,GNRC
S&P,NCLH
S&P,DVA
S&P,CMA
S&P,FMC
S&P,HAS
S&P,WHR
S&P,ZION
S&P,MHK
S&P,PARA
S&P,VFC
S&P,FOX
S&P,NWS
